Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Gadar – Ek Prem Katha,15Jun2001,1.4,4.08,9.28,76.88
Kabhi Khushi Kabhie Gham,14Dec2001,2.38,7,14.38,55.65
Lagaan: Once Upon a Time in India,15Jun2001,1,3.14,6.63,34.31
Indian,26Oct2001,1.8,5.16,9.08,24.22
Dil Chahta Hai,10Aug2001,0.9,2.77,5.73,20.02
Jodi No.1,13Apr2001,1.15,3.41,6.57,18.9
Chori Chori Chupke Chupke,09Mar2001,1.14,3.48,6.5,18.35
Ek Rishtaa – The Bond of Love,18May2001,1.31,3.84,7.12,17.78
Mujhe Kucch Kehna Hai,25May2001,0.81,2.46,5.11,17.28
Ajnabee,22Sep2001,1.65,4.78,8.07,17.04
Lajja,31Aug2001,1.34,3.92,7.16,15.87
Yaadein,27Jun2001,1.59,4.59,8.21,14.65
Asoka,26Oct2001,1,2.87,5.27,11.54
Farz,12Jan2001,1.07,3.08,5.43,11.27
Nayak,07Sep2001,0.85,2.6,4.81,10.75
Albela,20Apr2001,0.76,2.34,4.35,10.53
Aashiq,26Jan2001,0.9,2.39,4.37,10.34
Aks,13Jul2001,1,2.97,5.15,8
Kyonkii Main Jhuth Nahi bolta,21Sep2001,0.64,1.9,3.55,7.95
Yeh Raaste Hai Pyaar Ke,10Aug2001,0.83,2.44,4.26,7.76
Pyaar Tune Kya Kiya,27Apr2001,0.48,1.47,2.74,6.83
One 2 Ka 4,30Mar2001,0.77,2.14,3.71,6.64
Aamdani Athanni Kharcha Rupaiya,21Dec2001,0.46,1.41,2.6,6.12
Love Ke Liye Kuch Bhi Karega,29Jun2001,0.57,1.67,2.9,5.57
Rehnaa Hai Terre Dil Mein,18Oct2001,0.41,1.32,2.25,5.52
Chuppa Rustam,23Mar2001,0.27,0.75,1.58,5.42
Style,28Dec2001,0.29,0.97,1.81,5.36
Kasoor,02Feb2001,0.23,0.83,1.63,5.31
Deewaanapan,16Nov2001,0.48,1.38,2.39,5.1
Kuch Khatti Kuch Meethi,19Jan2001,0.35,1.1,2.05,5.04
Tum Bin,13Jul2001,0.15,0.56,1.21,4.43
Chandni Bar,28Sep2001,0.16,0.63,1.14,4.09
Yeh Teraa Ghar Yeh Meraa Ghar,12Oct2001,0.54,1.59,2.6,3.87
Officer,14Mar2001,0.43,1.21,2.08,3.71
Zubeidaa,01Jan2001,0.19,0.64,1.21,3.48
Pyaar Ishq Aur Mohabbat,03Aug2001,0.56,1.52,2.41,3.32
Tera Mera Saath Rahen,16Nov2001,0.43,1.21,1.96,3.04
Hum Ho Gaye Aapke,13Aug2001,0.35,1.03,1.72,2.89
Bas Itna Sa Khwaab Hai,06Jul2001,0.42,1.14,1.8,2.73
Abhay,16Nov2001,0.28,0.78,1.28,2.02
Ittefaq,14Sep2001,0.36,0.93,1.46,1.92
Kasam,12Oct2001,0.19,0.51,0.79,1.29
Bawandar,08Dec2001,0.1,0.32,0.56,1.05
Paagalpan,08Jun2001,0N.A,0N.A,0.67,1.03
Avgat,01Jun2001,0N.A,0N.A,0.6,1
Khatron Ke Khiladi,04May2001,0.13,0.34,0.53,0.99
Rahul,06Apr2001,0.08,0.27,0.48,0.98
Ehsaas – A Feeling,30Nov2001,0.17,0.46,0.7,0.97
Zahreela,02Mar2001,0.13,0.35,0.53,0.87
Vatsyayana Kamasutra,09Mar2001,0N.A,0N.A,0.45,0.85
