Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Shikhar,30-12-2005,1.21,3.62,5.27,6.62
Dosti – Friends Forever,23-12-2005,1.28,3.55,5.58,8.77
Vaah! Life Ho Toh Aisi,23-12-2005,0.86,2.51,3.8,5.84
Bluffmaster,16-12-2005,1.6,5.21,8.56,18.28
Neal ‘n’ Nikki,09-12-2005,1.05,2.98,4.4,6.06
Ek Ajnabee,09-12-2005,1.1,3.12,4.68,6.94
Kalyug,09-12-2005,0.68,1.97,3.18,7.21
Apaharan,02-12-2005,1.9,5.63,8.9,15.66
Deewane Huye Paagal,25-11-2005,2.24,6.49,10,15.17
Ek Khiladi Ek Haseena,18-11-2005,0.98,2.68,3.94,4.74
Garam Masala,02-11-2005,3.02,7.11,14.13,29
Kyon Ki,02-11-2005,1.92,4.44,8.08,12.71
Shaadi No.1,02-11-2005,1.82,4.37,7.63,11.49
Hanuman,21-10-2005,0.25,0.9,1.58,5.38
Chocolate,16-09-2005,0.85,2.42,3.7,6.64
Salaam Namaste,09-09-2005,2.15,6.84,11.49,26.2
Aashiq Banaya Aapne,02-09-2005,0.85,2.56,3.89,6.38
No Entry,26-08-2005,1.72,7.98,14.08,44.72
Iqbal,26-08-2005,0.13,0.52,0.98,3.86
Barsaat,19-08-2005,1.59,4.46,6.78,9.91
Mangal Pandey – The Rising,12-08-2005,3.24,9.59,17.37,27.86
Viruddh,22-07-2005,1.17,3.65,5.89,10.07
Maine Pyaar Kyun Kiya,15-07-2005,2.4,6.95,11.56,25.69
Dus,08-07-2005,2.92,8.22,12.82,23.29
Paheli,24-06-2005,2.02,5.76,8.75,12.85
Bach Ke Rehna Re Baba,17-06-2005,0.64,1.79,2.82,3.67
Parineeta,10-06-2005,1.15,3.97,6.77,16.79
D – Underworld,03-06-2005,1,2.8,4.23,5.94
Bunty Aur Babli,27-05-2005,2.68,8.66,14.37,36.25
Naina,20-05-2005,0.68,2.13,3.41,4.83
Jo Bole So Nihaal,13-05-2005,1.6,4.32,6.7,8.22
Kyaa Kool Hai Hum,06-05-2005,0.92,3.21,5.32,15.34
Kaal,29-04-2005,2.71,7.53,11.45,19.09
Waqt – Race Against Time,22-04-2005,1.91,5.78,9.37,20.25
Mumbai Xpress,15-04-2005,0.45,1.38,2.16,3.5
Lucky – No Time For Love,06-04-2005,2.32,6.57,10.15,15.94
Shabd,02-04-2005,0.94,2.61,3.86,5.47
Tango Charlie,25-03-2005,1.15,3.11,4.74,7.16
Zeher,25-03-2005,0.64,2.06,3.45,7.34
Karam,12-03-2005,0.77,2.22,3.41,4.95
Bewafaa,25-02-2005,1.93,5.62,8.87,16.97
Jurm,18-02-2005,0.76,2.13,3.18,4.24
Black,04-02-2005,1.03,3.43,6.47,23.19
Blackmail,28-01-2005,0.81,2.13,3.1,4.14
Kisna,21-01-2005,1.49,4.22,6.59,8.22
Insan,14-01-2005,0.92,2.41,3.72,6.58
Elaan,14-01-2005,1.16,3.06,4.65,7.52
Vaada,07-01-2005,0.95,2.62,3.85,5.41
Sarkar,07-01-2005,2.43,6.86,11.57,24.84
