Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Dil Maange More,31Dec2004,0.85,2.53,3.95,5.44
Ab Tumhare Hawale Watan Sathiyo,24Dec2004,1.63,4.58,7.19,11.56
Raincoat,24Dec2004,0.29,0.98,1.59,2.54
Swades,17Dec2004,1.63,5.15,8.28,16.31
Musafir,10Dec2004,1.7,5,7.76,11.82
Hulchul,26Nov2004,1.5,4.65,8.32,20.29
Naach,12Nov2004,0.42,1.53,2.34,3.16
Veer Zaara,12Nov2004,2.46,9.78,17.57,41.86
Aitraaz,12Nov2004,1.18,4.46,7.66,15.58
Vaastu Shastra,22Oct2004,0.92,2.68,4.2,6.95
Tauba Tauba,01Oct2004,0.42,1.21,1.99,3.62
Tumsa Nahin Dekha,24Sep2004,0.54,1.51,2.37,3.47
Madhoshi,24Sep2004,0.5,1.45,2.2,3.07
Dil Ne Jise Apna Kahaa,10Sep2004,1.09,3.22,4.95,6.85
Rakht,03Sep2004,1.19,3,4.24,5.34
Phir Milenge,27Aug2004,0.27,0.88,1.47,2.5
Dhoom,27Aug2004,1.85,5.82,10.51,31.6
Fida,20Aug2004,1.6,4.52,6.8,9.71
Kyun! Ho Gaya Na,13Aug2004,1.27,3.86,5.8,7.88
Taarzan – The Wonder Car,06Aug2004,0.67,2,3.01,4.26
Mujhse Shaadi Karogi,30Jul2004,2.45,7.29,12.21,29.11
Julie,23Jul2004,1.08,3.07,5.03,9.17
Asambhav,23Jul2004,0.62,1.68,2.47,3.13
Gayab,16Jul2004,1.38,3.95,5.74,7.11
Garv,09Jul2004,1.92,5.42,8.77,14.38
Deewaar – Lets bring our heroes home,25Jun2004,1.72,5.01,8.05,13.24
Lakshya,18Jun2004,2.3,6.92,11.67,23.56
Dev,11Jun2004,1.15,3.38,5.02,6.83
Girlfriend,11Jun2004,0.44,1.31,2.04,3.94
Aan – Men at Work,04Jun2004,1.4,3.98,6.12,9.27
Hum Tum,28May2004,1.23,4.04,7.49,21.64
Yuva,21May2004,1.61,4.96,8.13,14.25
Run,14May2004,0.76,2.18,3.28,4.75
Lakeer,14May2004,0.95,2.5,3.6,4.8
Main Hoon Na,30Apr2004,2.72,8.03,14.57,36.2
Bardaasht,23Apr2004,0.53,1.45,2.17,2.97
Krishna Cottage,16Apr2004,0.66,1.87,2.81,3.99
Masti,09Apr2004,1.8,5.47,9.13,20.28
Murder,02Apr2004,1.03,2.95,5.27,15.01
Ab Tak Chhappan,27Feb2004,0.68,0.22,3.76,8.68
Tum?,20Feb2004,0.34,0.98,1.55,2.86
Kismat,20Feb2004,0.69,1.97,3.02,4.91
I – Proud To Be An Indian,13Feb2004,0.49,1.31,1.87,2.4
Rudraksh,13Feb2004,1.22,3.25,4.7,5.9
Paap,30Jan2004,0.46,1.21,1.8,2.5
Aetbaar,23Jan2004,0.67,1.88,2.8,4.25
Khakee,23Jan2004,2.05,6.1,10.81,25.79
Ek Hasina Thi,16Jan2004,0.62,1.78,2.73,4.64
Plan,09Jan2004,1.13,3.02,4.47,6.41
Chameli,09Jan2004,0.44,1.39,2.13,3.2
