Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Bolo Raam,31-12-2009,N.A.,N.A.,N.A.,0.41
Accident on Hill Road,31-12-2009,N.A.,N.A.,N.A.,0.72
"Raat Gayi, Baat Gayi?",31-12-2009,N.A.,N.A.,N.A.,0.64
3 Idiots,25-12-2009,12.78,40.65,79.07,202.95
World Cupp 2011,18-12-2009,N.A.,N.A.,N.A.,0.11
Paa,04-12-2009,2.15,10.9,16,30.49
Radio,03-12-2009,N.A.,N.A.,N.A.,1.09
De Dana Dan,27-11-2009,0N.A,21.37,34.31,48.01
Kurbaan,20-11-2009,0N.A,11.43,17.34,27.09
Marega Salaa,20-11-2009,N.A.,N.A.,N.A.,0.13
Aao Wish Karein,13-11-2009,0N.A,0N.A,0N.A,0.02
Tum Mile,13-11-2009,0N.A,5.75,9.24,9.28
2012 (English),12-11-2009,0N.A,0N.A,0N.A,63.75
Rocket Singh – Salesman Of The Year,12-11-2009,0N.A,8.6,13.81,16.55
Ajab Prem Ki Ghazab Kahani,06-11-2009,6.64,22.52,35.83,64.6
Jail,06-11-2009,0N.A,0N.A,0N.A,7.69
London Dreams,30-10-2009,0N.A,14.6,23.36,28.96
Aladin,30-10-2009,0N.A,2.93,4.69,5.82
Blue,16-10-2009,5.83,18.07,29.72,38.55
All The Best,16-10-2009,1.82,12.38,22.14,41.41
Main Aurr Mrs Khanna,16-10-2009,1.64,4.42,6.86,7.4
Acid Factory,09-10-2009,0.61,1.93,3.76,3.8
Short Kut – The Con is On,07-10-2009,1.37,4.48,6.51,7.69
Do Knot Disturb,02-10-2009,3.63,9.22,13,16.93
Wake Up Sid,02-10-2009,3.66,10.42,15.68,27.95
What’s Your Raashee?,25-09-2009,1.61,5.95,8.62,10.13
Dil Bole Hadippa!,18-09-2009,3.42,11.82,17.59,23.35
Wanted,18-09-2009,5.1,15.57,33.63,60.24
Fox,04-09-2009,0.59,1.81,2.52,2.87
Aagey Se Right,04-09-2009,0.52,1.71,2.57,3.04
Quick Gun Murugun,28-08-2009,0.27,0.93,1.37,1.87
Daddy Cool,28-08-2009,0.86,2.79,3.99,4.44
Life Partner,14-08-2009,1.58,5.79,9.86,20.67
Kaminey,14-08-2009,4.39,14.82,24.6,41.52
Teree Sang,07-08-2009,0.31,1.08,1.69,1.97
Agyaat,07-08-2009,1.23,3.57,5.18,5.33
Love Aaj Kal,31-07-2009,8.02,27.86,42.8,66.56
Luck,24-07-2009,3.71,11.18,16.49,21.03
Partner,20-07-2009,5.38,16.57,27.74,60.05
Jashnn,17-07-2009,0.61,1.88,2.69,2.84
Kambakkht Ishq,03-07-2009,7.42,22.62,33.1,47.09
New York,26-06-2009,5.62,17.42,27.36,45.39
Paying Guests,19-06-2009,1,3.33,4.64,5.55
Kal Kissne Dekha,12-06-2009,1.03,3.34,4.75,5.67
99,15-05-2009,0.76,2.97,4.56,10.78
8×10 Tasveer,03-04-2009,1.89,6.15,9.16,15.41
Aa Dekhen Zara,27-03-2009,0.85,2.85,4.23,6.16
Ek – The Power of One,27-03-2009,1,3.22,4.71,6.31
Aloo Chaat,20-03-2009,0.56,2,3.11,4.86
Gulaal,13-03-2009,0.75,2.29,3.33,4.31
Jai Veeru,13-03-2009,0.59,1.73,2.48,2.79
13B,06-03-2009,0.88,3.1,4.77,7.37
Dhoondte Reh Jaoge,06-03-2009,0N.A,0N.A,4.74,6.3
Delhi-6,20-02-2009,4.77,15.43,22.2,30.7
Billu,13-02-2009,3.78,12.05,17.53,22.92
Dev D,06-02-2009,1.34,5.34,8.47,15.3
Luck By Chance,30-01-2009,1.72,5.97,9.16,12.25
Raaz – The Mystery Continues,23-01-2009,3.95,11.92,19.58,25.5
Chandni Chowk To China,16-01-2009,5.57,17.87,25.37,29.46
Shaabash! You Can Do It,01-01-2009,N.A.,N.A.,N.A.,N.A.
Love com,01-01-2009,N.A.,N.A.,N.A.,0.17
Trump Card,01-01-2009,N.A.,N.A.,N.A.,0.02
