Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Ghajini,25Dec2008,0N.A,0N.A,55.16,114
Jumbo,25Dec2008,0.33,1.16,1.66,2.53
Rab Ne Bana Di Jodi,12Dec2008,6.76,24.32,41.79,84.68
Dil Kabaddi,05Dec2008,0.6,2.14,3.27,3.84
Oye Lucky! Lucky Oye!,28Nov2008,0.7,2.97,4.63,6.72
Yuvvraaj,21Nov2008,2.88,9.02,12.94,16.89
Dostana,14Nov2008,5.29,17.53,26.74,44.38
Emi,07Nov2008,1.03,3.35,4.71,5.03
Fashion,29Oct2008,2.44,6.78,14.4,26.46
Golmaal Returns,29Oct2008,5.89,17.56,33.9,51.12
Heroes,24Oct2008,2.09,6.78,10.38,12.63
Roadside Romeo,24Oct2008,0.66,2.25,3.39,4.54
Karzzzz,17Oct2008,2.05,6.24,9.06,10.34
Hello,10Oct2008,1.97,6.27,9.7,12.11
Kidnap,02Oct2008,4.88,9.89,15.84,20.5
Drona,02Oct2008,1.79,4,7.67,8.97
Welcome to Sajjanpur,19Sep2008,1.13,4.19,6.42,9.81
1920,12Sep2008,0.89,3.25,5.84,10.48
A Wednesday !,05Sep2008,0.44,1.92,3.53,11.73
C Kkompany,29Aug2008,0.73,2.28,3.14,3.49
Rock On!!,29Aug2008,1.66,6.02,9.59,25.3
Phoonk,22Aug2008,1.35,4.37,6.64,9.8
Mumbai Meri Jaan,22Aug2008,0.44,1.57,2.44,3.54
God Tussi Great Ho,15Aug2008,2.43,6.42,9.85,12.51
Bachna Ae Haseeno,15Aug2008,4.87,13.15,20.07,36.19
Singh Is Kinng,08Aug2008,7.24,25.53,39.38,67.91
Ugly Aur Pagli,01Aug2008,1.32,4.53,6.68,7.13
Money Hai Toh Honey Hai,25Jul2008,0.69,2.26,3.32,3.88
Mission Istaanbul,25Jul2008,1.18,3.86,5.36,6.35
Kismat Konnection,18Jul2008,3.41,11.45,16.81,22.77
Contract,18Jul2008,0.58,1.9,2.54,2.66
Love Story 2050,04Jul2008,2.03,6.72,9.73,11.01
Jaane Tu… Ya Jaane Na,04Jul2008,3.45,12.21,21.01,55.62
Thoda Pyaar Thoda Magic,27Jun2008,3.34,11.52,16.85,21.67
De Taali,20Jun2008,1.5,4.83,7.26,8.49
Mere Baap Pehle Aap,13Jun2008,2.77,9.96,15.27,22.71
Sarkar Raj,06Jun2008,4.97,16.42,23.83,34.31
Jannat,16May2008,2.64,8.97,14.24,30.1
Bhoothnath,09May2008,2.45,8.64,13.62,23.89
Mr. White Mr. Black,02May2008,0.55,1.78,2.49,2.81
Tashan,25Apr2008,3.92,1.22,18.68,29.35
Krazzy 4,11Apr2008,2.73,8.96,13.59,19.59
U Me Aur Hum,11Apr2008,2.21,7.59,12.08,20.98
One Two Three,28Mar2008,2.15,7.53,11.46,17.12
Race,21Mar2008,6.32,21.06,33.33,60.83
Black & White,07Mar2008,0.55,2.01,3.32,5.31
Jodhaa Akbar,15Feb2008,3.81,13.32,21.83,56.04
Mithya,08Feb2008,0.48,1.79,2.99,5.19
Sunday,25Jan2008,2.31,7.78,12.03,20.3
Halla Bol,11Jan2008,1.87,6.28,9.27,12.75
