Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Saathiya,20Dec2002,0.53,1.79,3.78,15.26
Kaante,20Dec2002,2.04,5.87,10.38,20.45
Karz-The Burden of Truth,06Dec2002,1.26,3.57,5.57,8.7
Waah! Tera Kya Kehna,01Nov2002,0.25,0.71,1.09,1.8
Annarth,01Nov2002,0.39,1.13,1.83,3
Jeena Sirf Merre Liye,01Nov2002,0.66,1.92,3.36,6.5
Deewangee,25Oct2002,0.68,2.05,3.87,11.44
Dil Vil Pyar Vyar,18Oct2002,0.32,1,1.58,2.37
Hathyar,18Oct2002,0.77,2.12,3.29,5.35
Yeh Kya Ho Raha Hai?,11Oct2002,0.51,1.4,2.11,2.91
Road,27Sep2002,0.88,2.59,4.3,7.57
Gunaah,20Sep2002,0.59,1.71,2.71,4.49
Shakti – The Power,20Sep2002,0.98,2.82,4.62,8.48
Ek Chhotisi Love Story,06Sep2002,0.35,0.98,1.73,4.84
Dil Hai Tumhaara,06Sep2002,0.76,2.34,4.11,8.69
Chor Machaye Shor,30Aug2002,1,2.97,4.78,7.66
Maine Dil Tujhko Diya,23Aug2002,0.85,2.46,3.86,6.4
Jaani Dushman,16Aug2002,1.35,4.02,6.47,10.73
Mujhse Dosti Karoge,09Aug2002,1.16,3.58,6.28,12.95
Yeh Hai Jalwa,26Jul2002,0.87,2.45,3.7,5.49
Om Jai Jagadish,19Jul2002,0.79,2.34,3.71,6.16
Devdas,12Jul2002,2.09,6.15,11.78,41.66
Humraaz,05Jul2002,1.55,4.48,7.7,16.59
Kyaa Dil Ne Kahaa,28Jun2002,0.7,1.96,3,4.24
Awara Paagal Deewana,21Jun2002,1.53,4.43,7.66,16.02
Badhaai Ho Badhaai,14Jun2002,0.63,1.79,2.72,3.79
Rishtey,12Jun2002,0.68,2.02,3.44,6
The Legend Of Bhagat Singh,07Jun2002,0.59,1.84,3.3,7.45
Mere Yaar Ki Shaadi Hai,07Jun2002,0.52,1.61,3.04,8.34
23rd March 1931 Shaheed,07Jun2002,1.21,3.26,5.08,7.6
Hum Kisi Se Kum Nahin,31May2002,1.63,4.64,7.38,19
Hum Tumhare Hain Sanam,24May2002,1.42,4.14,6.84,13.52
Ab Ke Baras,10May2002,0.4,1.13,1.87,3.09
Na Tum Jaano Na Hum,10May2002,0.81,2.46,4.34,8.14
Tum Se Achcha Kaun Hai,26Apr2002,0.2,0.62,1.02,1.88
Aap Mujhe Achche Lagne Lage,19Apr2002,1.09,3.24,5.3,9.59
Company,12Apr2002,1.18,3.47,6.01,13.83
Aankhen,05Apr2002,1.2,3.63,6.67,17.48
44181,22Mar2002,0.52,1.57,2.79,6.37
Kya Yehi Pyaar Hai,22Mar2002,0.6,1.8,3.12,7.58
Kranti,15Mar2002,0.82,2.31,3.78,6.19
Tumko Na Bhool Paayenge,22Feb2002,1.28,3.61,5.99,10.53
Haan Maine Bhi Pyaar Kiya,15Feb2002,0.96,2.81,4.56,8.93
Filhaal,01Feb2002,0.22,0.65,1.09,1.91
Maa Tujhhe Salaam,25Jan2002,1.71,4.9,7.72,13.32
Yeh Dil Aashiqanaa,18Jan2002,0.47,1.47,2.57,6.22
Koi Mere Dil Se Poochhe,11Jan2002,0.55,1.5,2.4,3.8
Pitaah,04Jan2002,0.74,2.07,3.19,4.79
Raaz,02Jan2002,0.79,2.32,4.69,21.46
Ankhiyon Se Goli Maare,01Jan2002,0.55,1.45,2.15,3.1
