Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Ugly,26Dec2014,0.4,1.65,3.34,6.23
PK,19Dec2014,26.63,95.41,183.09,340.8
Room – The Mystery,12Dec2014,N.A.,N.A.,0.01,0.01
Life Mein Twist Hai,12Dec2014,0N.A,0N.A,0.01,0.02
Main Aur Mr. Riight,12Dec2014,0.04,0.15,0.29,0.33
LUV…..Phir Kabhie,12Dec2014,N.A.,N.A.,0.02,0.02
Kaash Tum Hote,12Dec2014,N.A.,N.A.,0.02,0.05
Badlapur Boys,12Dec2014,0.14,0.43,0.76,0.89
Bhopal: A Prayer For Rain,05Dec2014,0N.A,0N.A,1.11,1.36
Action Jackson,05Dec2014,10.25,29.25,45.16,57.78
Zid,28Nov2014,2.82,8.68,14.08,14.08
Sulemani Keeda,28Nov2014,0N.A,0N.A,0.11,0.16
Zed Plus,28Nov2014,N.A.,N.A.,0.47,0.47
Ungli,28Nov2014,3.6,12.8,19.15,19.47
Darr Ke Aage Jeet Hai,21Nov2014,N.A,N.A,0.02,0.02
Gollu Aur Pappu,21Nov2014,N.A,N.A,0.01,0.01
The Real Dream Girl,21Nov2014,N.A,N.A,0.01,0.01
Happy Ending,21Nov2014,3.75,13,19.05,19.44
Titoo MBA,21Nov2014,N.A,N.A,0.1,0.1
Kill Dil,14Nov2014,6.53,20.18,29.28,33.14
Money Back Gurantee,14Nov2014,N.A,N.A,0.05,0.05
6-5=2,14Nov2014,0.1,N.A.,0.71,0.71
The Shaukeens,07Nov2014,5.12,18.52,18.88,28
Chaar Sahibzaade,07Nov2014,N.A.,N.A.,3.5,33.17
Rang Rasiya / Colors of Passion,07Nov2014,0.63,2.31,3.89,4.8
Super Nani,31Oct2014,0.5,1.42,2.52,2.61
Roar – Tigers Of The Sunderbans,31Oct2014,1.6,5,7.68,8.68
C.D. Kand,24Oct2014,N.A.,N.A.,0N.A,0.03
Happy New Year,24Oct2014,44.97,108.86,157.57,203
Gurjar Aandolan,17Oct2014,0N.A,0N.A,0.01,0.01
Sonali Cable,17Oct2014,0.14,0.45,0.81,0.91
Mumbai 125 KM,17Oct2014,0.34,1.12,1.47,1.65
Jigariyaa,10Oct2014,0.02,0.07,0.16,0.16
Tamanchey,10Oct2014,0.22,0.66,1.3,1.46
Ekkees Toppon Ki Salaami,10Oct2014,0.22,0.83,1.4,1.58
Spark,10Oct2014,0.03,0.05,0.09,0.09
Bang Bang!,02Oct2014,27.54,94.13,135.45,181.03
Haider,02Oct2014,6.14,26.78,41,56.09
Ladies First,02Oct2014,N.A.,N.A.,0.01,0.01
Meinu Ek Ladki Chaahiye,26Sep2014,N.A.,N.A.,0.07,0.07
Chaarfutiya Chhokare,26Sep2014,0.04,0.1,0.21,0.21
3 A.M.,26Sep2014,0.28,1.2,1.8,1.84
Balwinder Singh… Famous Ho Gaya,26Sep2014,0.1,0.28,0.53,0.54
Desi Kattey,26Sep2014,0.55,1.75,2.92,2.98
Khoobsurat,19Sep2014,2.74,11.53,19.11,24.75
Daawat-e-Ishq,19Sep2014,3.72,13.6,20.43,25.5
Finding Fanny,12Sep2014,5.1,19.9,28.09,35.91
Creature,12Sep2014,3.24,11.36,17.7,17.7
Mary Kom,05Sep2014,8.4,30.6,46,56.5
Raja Natwarlal,29Aug2014,6.1,17.4,25.88,26.83
Identity Card,29Aug2014,N.A.,N.A.,0.01,0.02
Mardaani,22Aug2014,3.46,14.46,22.97,35.82
Mad About Dance,22Aug2014,0N.A,0N.A,0.18,0.2
Trip to Bhangarh,22Aug2014,N.A.,N.A.,0.12,0.14
Katiyabaaz,22Aug2014,N.A.,N.A.,0.09,0.1
Life Is Beautiful!,22Aug2014,N.A.,N.A.,0.04,0.04
Singham Returns,15Aug2014,32.09,77.69,112.59,140.62
Entertainment,08Aug2014,11.16,36.69,56.5,72.02
Lateef: The King Of Crime,01Aug2014,N.A.,N.A.,0.05,0.06
Kick,25Jul2014,26.4,83.83,164.09,231.85
Riyasat,18Jul2014,0N.A,0N.A,0.01,0.01
Aaj Ka Fashion Trend,18Jul2014,N.A,N.A.,0.01,0.01
Amit Sahni Ki List,18Jul2014,0.69,2.83,4.36,4.36
Pizza,18Jul2014,0.75,2.91,4.22,4.25
Bazaar-E-Husn,18Jul2014,N.A.,N.A.,0.01,0.01
Hate Story 2,18Jul2014,5.46,15.85,25.6,27.16
Munna Mange Memsaab,11Jul2014,N.A.,N.A.,0.02,0.02
Humpty Sharma Ki Dulhania,11Jul2014,9.02,33.74,53.31,76.81
Bollywood Villa,11Jul2014,N.A.,N.A.,N.A.,0.02
Lekar Hum Deewana Dil,04Jul2014,0.5,1.6,2.4,2.49
Bobby Jasoos,04Jul2014,1.79,7.68,10.83,11.74
Ek Villain,27Jun2014,16.72,50.7,77.2,105.62
Humshakals,20Jun2014,12.5,40.13,56.35,63.72
