Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Bhagam Bhag,22Dec2006,3.43,11.34,20.91,40.38
Kabul Express,15Dec2006,1.49,4.87,7.21,11.7
Baabul,06Dec2006,2.23,6.88,10.81,17.32
Dhoom 2,24Nov2006,5.85,17.41,32,81.01
Vivah,10Nov2006,0.83,2.84,5.63,31.56
Apna Sapna Money Money,10Nov2006,1.94,5.7,8.83,14.4
Umrao Jaan,03Nov2006,1.52,4.27,6.09,7.43
Don – The Chase Begins Again,20Oct2006,4.65,14.18,24.44,50.35
Jaan-E-Mann,20Oct2006,2.43,8.02,13.6,25.13
Woh Lamhe,29Sep2006,0.82,2.68,4.18,6.8
Khosla Ka Ghosla,22Sep2006,0.26,1.01,1.65,4.59
Rocky – The Rebel,22Sep2006,0.41,1.33,1.83,2.16
Dor,22Sep2006,0.14,0.51,0.9,2.7
Shiva,15Sep2006,0.56,1.52,2.18,2.44
Pyaar Ke Side Effects,15Sep2006,0.72,2.42,3.91,8.33
Naksha,08Sep2006,1.39,3.76,5.43,6.61
Dil Diya Hai,08Sep2006,0.51,1.44,2.06,2.31
Lage Raho Munnabhai,01Sep2006,3.38,10.95,20.39,74.88
Aap Ki Khatir,25Aug2006,1.24,3.59,5.33,6.39
Kabhi Alvida Naa Kehna,11Aug2006,5.18,16.62,27.79,44.41
Anthony Kaun Hai?,04Aug2006,1.31,3.52,4.98,6.17
Omkara,28Jul2006,2.78,8.43,13.22,23.22
The Killer,21Jul2006,0.99,2.73,3.88,4.65
Golmaal,14Jul2006,2.32,7.54,12.89,29.33
Corporate,07Jul2006,1.17,3.69,5.89,10.32
Krrish,23Jun2006,6,17.34,29.3,72.16
Phir Hera Pheri,09Jun2006,3.28,9.86,17.75,40.8
Chup Chup Ke,09Jun2006,1.28,4.18,7.08,13.75
Shaadi Se Pehle,04Jun2006,1.52,4.53,6.92,10.2
Fanaa,26May2006,3.96,11.74,20.32,51.87
Tom Dick and Harry,12May2006,1.19,3.48,5.52,9.22
Tathastu,12May2006,0.43,1.15,1.65,1.94
36 China Town,05May2006,2.57,7.55,11.93,23.05
Darna Zaroori Hai,28Apr2006,1.34,3.72,5.37,6.43
Gangster,28Apr2006,1.07,3.47,5.82,12.67
Pyare Mohan,21Apr2006,1.89,5.72,8.48,11.8
Hum Ko Deewana Kar Gaye,14Apr2006,1.9,5.41,8.44,14.13
Saawan – The Love Season,06Apr2006,0.8,2.14,3.06,3.47
Being Cyrus,24Mar2006,0.38,1.33,2.21,3.91
Malamaal Weekly,10Mar2006,1.73,5.91,10.26,26.89
Teesri Aankh – The Hidden Camera,03Mar2006,0.7,2.19,3.11,4.16
Taxi Number 9211,24Feb2006,1.61,5.17,8.62,19.59
Fight Club – Members Only,17Feb2006,1,2.8,4.02,5.48
Mere Jeevan Saathi,03Feb2006,0.4,1.13,1.69,2.42
Aksar,03Feb2006,0.95,2.85,4.64,8.58
Rang De Basanti,26Jan2006,3.12,7.69,15.35,53.08
Zinda,12Jan2006,1.3,3.63,5.92,10.17
Family – Ties of Blood,12Jan2006,1.38,3.77,5.7,8.59
Jawani Diwani – A Youthful Joyride,06Jan2006,0.94,2.58,3.7,4.72
