Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Kya Yahi Sach Hai,30-12-2011,0N.A,0N.A,0.19,0.2
Don Ke Baad Kaun?,23-12-2011,N.A.,N.A.,N.A.,0.06
Don 2,23-12-2011,15.3,48.39,75.51,106.71
Pappu Can’t Dance Saala,16-12-2011,N.A.,N.A.,N.A.,0.37
Faraar,16-12-2011,N.A.,N.A.,N.A.,N.A.
Jo Hum Chahein,16-12-2011,N.A.,N.A.,0.23,0.23
Ye Stupid Pyar,09-12-2011,0N.A,0N.A,0N.A,0.01
Lanka,09-12-2011,N.A.,N.A.,0.51,0.52
Ladies VS Ricky Bahl,09-12-2011,4.74,16.54,24.93,32.97
The Dirty Picture,02-12-2011,9.54,32.7,52.5,80
I Am Singh,02-12-2011,N.A.,N.A.,0.35,0.37
Ek Main Ek Tum,01-12-2011,N.A.,N.A.,N.A.,0.01
Desi Boyz,25-11-2011,8,25.5,35.27,42.4
Dam 999,25-11-2011,N.A.,N.A.,0.81,1.13
Shakal Pe Mat Ja,18-11-2011,N.A.,N.A.,0.35,0.39
Who’s There?,18-11-2011,N.A.,N.A.,N.A.,0.03
Rockstar,11-11-2011,10.6,33.6,49.01,62
Tension Doooor,04-11-2011,0N.A,0N.A,0.01,0.02
Na Jaane Kabse..,04-11-2011,N.A.,N.A.,0.02,0.03
Miley Naa Miley Hum,04-11-2011,N.A.,0.46,0.71,0.77
Loot,04-11-2011,N.A.,N.A.,3.12,3.42
Tell Me O Kkhuda,27-10-2011,N.A.,N.A.,0.93,1.28
Damadamm!,27-10-2011,N.A.,N.A.,0.86,1.07
Ra.One,26-10-2011,18.5,92,99,114.29
Be-Careful,21-10-2011,0N.A,0N.A,0.26,0.3
Aazaan,14-10-2011,N.A.,N.A.,1.67,2.31
My Friend Pinto,14-10-2011,N.A.,N.A.,1.45,1.91
Jo Dooba So Paar – It’s Love in Bihar!,14-10-2011,0N.A,0N.A,0N.A,0.28
Mujhse Fraaandship Karoge,14-10-2011,0.5,2.18,3.7,5.12
Mod,14-10-2011,N.A.,N.A.,0.41,0.51
Love Breakups Zindagi,07-10-2011,N.A.,N.A.,1.42,1.7
Soundtrack,07-10-2011,N.A.,N.A.,0.43,0.53
9 Eleven,07-10-2011,N.A.,N.A.,0.02,0.03
Rascals,06-10-2011,0N.A,23.5,27.68,32.6
Saheb Biwi Aur Gangster,30-09-2011,0N.A,3.75,5.77,10.4
Tere Mere Phere,30-09-2011,0N.A,0N.A,0.54,0.65
Force,30-09-2011,5.05,16,24.52,27.29
Chargesheet,30-09-2011,N.A.,N.A.,0.02,0.03
Hum Tum Shabana,30-09-2011,N.A.,1.2,1.9,2.34
Speedy Singhs,23-09-2011,N.A.,N.A.,3.25,3.52
Mausam,23-09-2011,0N.A,20.75,28.49,29.75
U R My Jaan,23-09-2011,N.A.,N.A.,0.06,0.09
Rivaaz,16-09-2011,N.A.,N.A.,0.22,0.33
Mere Brother Ki Dulhan,09-09-2011,7.4,25.9,38.99,58.7
That Girl in Yellow Boots,02-09-2011,N.A.,N.A.,N.A.,2.14
Bol,31-08-2011,0N.A,0N.A,1.27,2.05
Bodyguard,31-08-2011,21.6,88.75,115,148.86
Mummy Punjabi,31-08-2011,N.A.,N.A.,0.16,0.2
Shabri,26-08-2011,N.A.,N.A.,0.27,0.37
Stand By,26-08-2011,N.A.,N.A.,0.25,0.35
Chitkabrey – Shades Of Grey,26-08-2011,0N.A,0N.A,0.15,0.26
Yeh Dooriyan,26-08-2011,N.A.,N.A.,0.26,0.37
Not A Love Story,19-08-2011,N.A.,N.A.,3.5,4.11
Sahi Dhandhe Galat Bande,19-08-2011,N.A.,N.A.,0.61,0.65
5ters – Castle Of Dark Master,19-08-2011,N.A.,N.A.,N.A.,0.01
Chatur Singh Two Star,19-08-2011,N.A.,1.61,2.6,3.26
Aarakshan,12-08-2011,0N.A,16.9,26.52,40.04
Phhir,12-08-2011,N.A.,N.A.,1.91,2.5
I Am Kalam,05-08-2011,N.A.,N.A.,0.6,0.7
Chala Mussaddi – Office Office,05-08-2011,N.A.,N.A.,1.35,1.57
Warning,05-08-2011,N.A.,N.A.,N.A.,0.2
Gandhi To Hitler,29-07-2011,N.A.,N.A.,0.26,0.36
Bubble Gum,29-07-2011,0N.A,0N.A,0.11,0.16
Khap,29-07-2011,N.A.,N.A.,0.12,0.15
Singham,22-07-2011,8.94,30.98,51.25,100.3
Zindagi Na Milegi Dobara,15-07-2011,8,28.25,45.4,90.27
Murder 2,08-07-2011,7.1,22.35,36.5,47.9
Chillar Party,08-07-2011,0.45,3.15,5.1,6.55
Bbuddah…Hoga Terra Baap,01-07-2011,1.9,7.32,11.55,13.5
Delhi Belly,01-07-2011,7.15,26.15,35.02,52
Double Dhamaal,24-06-2011,7.62,22.78,36.59,43.88
Bheja Fry 2,17-06-2011,2.05,6.65,8.25,10.5
Cycle Kick,17-06-2011,N.A.,N.A.,0.02,0.04
Always Kabhi Kabhi,17-06-2011,N.A.,N.A.,2.51,2.88
Bin Bulaye Baarati,17-06-2011,0N.A,0N.A,2.76,3.76
Bhindi Baazaar Inc,17-06-2011,N.A.,N.A.,1.16,1.21
Love Express,10-06-2011,N.A.,N.A.,0.15,0.27
Shaitan,10-06-2011,0.81,3.41,5.25,8.19
Ready,03-06-2011,13.15,40.65,68.02,119.78
A Strange Love Story,03-06-2011,N.A.,N.A.,0.05,0.06
Kucch Luv Jaisaa,27-05-2011,N.A.,N.A.,2.38,2.92
Sheetalbhabhi.com,27-05-2011,0N.A,0N.A,0.15,0.17
Kashmakash,20-05-2011,N.A.,N.A.,0.27,0.3
404,20-05-2011,N.A.,N.A.,0.71,0.99
Pyaar Ka Punchnama,20-05-2011,0.92,3.25,5.56,9
Love U… Mr. Kalakaar!,13-05-2011,N.A.,0.86,1.31,1.93
Shagird,13-05-2011,N.A.,N.A.,1.82,2.07
Stanley Ka Dabba,13-05-2011,N.A.,N.A.,2.6,5.7
Ragini MMS,12-05-2011,0N.A,0N.A,8.06,9.87
Luv Ka The End,06-05-2011,0.6,2.45,4.28,5.88
Haunted – 3D,06-05-2011,2.67,9.33,14.63,25.56
Naughty @ 40,29-04-2011,N.A.,N.A.,N.A.,4.12
Queens! Destiny Of Dance,29-04-2011,N.A.,N.A.,N.A.,0.09
Men Will Be Men,29-04-2011,N.A.,N.A.,N.A.,0.19
I Am,29-04-2011,N.A.,N.A.,N.A.,0.41
Chalo Dilli,29-04-2011,N.A.,3.88,6.22,6.48
Shor In The City,28-04-2011,N.A.,2.34,3.73,3.96
Zokkomon,22-04-2011,N.A.,N.A.,N.A.,0.61
Dum Maaro Dum,22-04-2011,5.4,16.5,23.8,31.74
Teen Thay Bhai,15-04-2011,0.6,2.3,N.A.,2.93
Thank You,08-04-2011,5,18.5,30.5,46.57
F.A.L.T.U,01-04-2011,4.4,13,17.25,24.57
The Green Chic,01-04-2011,N.A.,N.A.,N.A.,N.A.
Game,01-04-2011,1.25,3.25,4.6,6.1
Happy Husbands,25-03-2011,N.A.,N.A.,N.A.,0.36
Yeh Faasley,04-03-2011,N.A.,N.A.,N.A.,0.22
Tanu Weds Manu,25-02-2011,3.26,11.27,18.56,36.84
Satrangee Parachute,25-02-2011,N.A.,N.A.,N.A.,0.06
Kaccha Limboo,18-02-2011,0N.A,0N.A,0N.A,0.06
7 Khoon Maaf,18-02-2011,3.3,11.53,15.5,17.69
Patiala House,11-02-2011,4.1,15.25,22.5,31.16
Aashiqui.in,11-02-2011,N.A.,N.A.,N.A.,0.09
Angel,11-02-2011,N.A.,N.A.,N.A.,0.06
Utt Pataang,04-02-2011,N.A.,N.A.,N.A.,0.33
Yeh Saali Zindagi,04-02-2011,1.15,4.6,7.5,12.1
United Six,04-02-2011,N.A.,N.A.,N.A.,0.3
Dil Toh Baccha Hai Ji,28-01-2011,3.7,15,21.13,28.91
Dhobi Ghat,21-01-2011,3.05,10.05,11.61,13.77
Yamla Pagla Deewana,14-01-2011,7.95,22.8,33.99,55.28
Turning 30!!!,14-01-2011,0N.A,0N.A,0N.A,1.16
No One Killed Jessica,07-01-2011,3.25,13.1,20.7,24.72
Ashoka The Hero,07-01-2011,N.A.,N.A.,N.A.,0.1
Vikalp,07-01-2011,0N.A,0N.A,0N.A,0.11
Impatient Vivek,07-01-2011,N.A.,N.A.,N.A.,0.09
