Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Secrets Of Sex,28Dec2012,0N.A,0N.A,0.01,0.21
Hansa,28Dec2012,N.A.,N.A.,0.01,0.01
Dabangg 2,21Dec2012,21.1,65,106.78,155
Myoho,14Dec2012,N.A.,N.A.,N.A.,0.01
Cigarette Ki Tarah,14Dec2012,N.A.,N.A.,0.11,0.12
10ml Love,07Dec2012,N.A.,N.A.,0.39,0.04
Khiladi 786,07Dec2012,10.4,34.3,52.55,70
Talaash,30Nov2012,13.5,47.1,67.9,93.4
Life of Pi,23Nov2012,0N.A,0N.A,0N.A,61
Jeet Lengey Jahaan,23Nov2012,N.A.,N.A.,0.03,0.06
Operation Mumbai,23Nov2012,N.A.,N.A.,N.A.,0.02
Jab Tak Hai Jaan,13Nov2012,15.23,80.73,98.41,120.85
Son Of Sardaar,13Nov2012,10.72,66.02,83.25,105.03
It’s Rocking – Dard-E-Disco,09Nov2012,N.A.,N.A.,N.A.,0.06
Murder In Mumbai,09Nov2012,N.A.,N.A.,0.02,0.12
1920 – Evil Returns,02Nov2012,4.05,12.27,19,22.86
Sons of Ram,02Nov2012,N.A.,N.A.,0.19,0.19
Future To Bright Hai Ji,02Nov2012,N.A.,N.A.,N.A.,0.01
Ata Pata Laapata,02Nov2012,N.A.,N.A.,0.37,0.38
Luv Shuv Tey Chicken Khurana,02Nov2012,1.25,5.75,7.8,9
Le Gaya Saddam,02Nov2012,N.A.,N.A.,0.05,0.06
Ajab Gazabb Love,26Oct2012,N.A.,4.25,7,7.22
Rush,26Oct2012,0N.A,2.1,3.25,3.41
Chakravyuh,24Oct2012,0N.A,12.25,16.75,18.42
Shudra The Rising,19Oct2012,N.A.,N.A.,0.63,0.76
Janleva 555,19Oct2012,0N.A,0N.A,0.05,0.1
Delhi Safari,19Oct2012,0N.A,0N.A,1.28,1.53
Student Of The Year,19Oct2012,7.48,30,48,70
In The Name Of.. Tai,12Oct2012,N.A.,N.A.,N.A.,0.01
Prem Mayee,12Oct2012,N.A.,N.A.,0.01,0.01
Login,12Oct2012,N.A.,N.A.,0.1,0.04
Chittagong,12Oct2012,0N.A,0N.A,0.15,0.19
Bhoot Returns,12Oct2012,N.A.,3.75,4.75,4.96
Aiyyaa,12Oct2012,1.35,4.75,6.25,6.63
English Vinglish,05Oct2012,2.51,13.06,21,34.86
Kismet Love Paisa Dilli,05Oct2012,N.A.,N.A.,3.74,3.8
OMG Oh My God!,28Sep2012,4.25,18.65,36.94,81.46
Kamaal Dhamaal Malamaal,28Sep2012,1.19,6.36,5.54,5.87
Heroine,21Sep2012,7.5,25,37.1,43.45
The Lost Tape,14Sep2012,N.A.,N.A.,N.A.,0.08
Qayamat Hi Qayamat,14Sep2012,N.A.,N.A.,0.36,0.49
Barfi!,14Sep2012,9.2,34.6,58.6,112.15
Jeena Hai Toh Thok Daal,14Sep2012,N.A.,N.A.,0.01,0.36
Riwayat,07Sep2012,N.A.,N.A.,N.A.,0.01
Raaz 3,07Sep2012,10.47,36.02,55.25,70.07
Chal Pichchur Banate Hain,07Sep2012,N.A.,N.A.,0.06,0.07
Jalpari,31Aug2012,N.A.,N.A.,0.03,0.04
From Sydney With Love,31Aug2012,N.A.,N.A.,0.08,0.13
Joker,31Aug2012,5,15.75,21,22.51
I M 24,31Aug2012,N.A.,N.A.,0.15,0.18
Shirin Farhad Ki Toh Nikal Padi,24Aug2012,1.6,6.4,9.65,11.25
Ek Tha Tiger,15Aug2012,32.93,100.16,154.21,198.78
Second Marriage Dot Com,10Aug2012,N.A.,N.A.,0.03,0.05
5 Ghantey Mien 5 Crore,10Aug2012,0N.A,0N.A,0N.A,0.01
Overtime,10Aug2012,0N.A,0N.A,0N.A,0.01
Gangs Of Wasseypur 2,08Aug2012,N.A.,15.44,17.8,22.04
Krishna Aur Kans,03Aug2012,N.A.,N.A.,0.5,0.86
Jism – 2,03Aug2012,7.46,20.9,29.91,30.59
Yeh Jo Mohabbat Hai,03Aug2012,N.A.,N.A.,0.22,0.26
Harud,27Jul2012,N.A.,N.A.,0.02,0.02
Siyaah..,27Jul2012,N.A.,N.A.,0.05,0.05
Aalaap,27Jul2012,N.A.,N.A.,0.07,0.08
Kyaa Super Kool Hain Hum,27Jul2012,7.12,23.06,35.5,45.14
Challo Driver,20Jul2012,N.A.,N.A.,0.05,0.06
Gattu,20Jul2012,N.A.,N.A.,N.A.,0.23
Mere Dost Picture Abhi Baki Hai,20Jul2012,N.A.,N.A.,0.1,0.14
Cocktail,13Jul2012,11,36,54,71
3 Bachelors,06Jul2012,N.A.,N.A.,0.15,0.17
Bol Bachchan,06Jul2012,12.1,43.1,66.72,102.94
Supermen of Malegaon,29Jun2012,N.A.,N.A.,0.03,0.04
Daal Mein Kuch Kaala Hai!,29Jun2012,0N.A,0N.A,0.09,0.1
Maximum,29Jun2012,N.A.,2,2.55,2.58
The Amazing Spider – Man,29Jun2012,0N.A,0N.A,0N.A,57.75
Vidhata – Tere Khel Hain Nirale,25Jun2012,N.A.,N.A.,N.A.,0.01
Gangs Of Wasseypur,22Jun2012,3.03,10.63,17.7,25.25
Teri Meri Kahaani,22Jun2012,5.25,16.75,23,25.75
Qasam Se Qasam Se,15Jun2012,0N.A,0N.A,0.22,0.27
