Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Ada… a way of life,31-12-2010,N.A.,N.A.,N.A.,0.01
Toonpur Ka Superrhero,24-12-2010,N.A.,1.4,2.37,3.55
Isi Life Mein,24-12-2010,N.A.,N.A.,N.A.,1.65
Tees Maar Khan,24-12-2010,13,38.25,49.75,60.91
Kaalo,17-12-2010,N.A.,N.A.,N.A.,0.6
332 Mumbai To India,17-12-2010,N.A.,N.A.,N.A.,0.25
Mirch,17-12-2010,N.A.,N.A.,N.A.,0.89
Payback,17-12-2010,N.A.,N.A.,N.A.,0.25
No Problem,10-12-2010,4.5,16.5,23.43,28
Band Baaja Baaraat,10-12-2010,0.95,5.2,9.4,17.08
Phas Gaye Re Obama,03-12-2010,0.22,1.2,2.05,2.45
Rakht Charitra – 2,03-12-2010,N.A.,N.A.,N.A.,3.86
Khelein Hum Jee Jaan Sey,03-12-2010,0N.A,3.25,5.01,5.01
Khuda Kasam,26-11-2010,0N.A,0.36,0.57,1.51
Allah Ke Banday,26-11-2010,N.A.,N.A.,N.A.,0.52
Spanish Beauty/A Beautiful Wife,26-11-2010,N.A.,N.A.,N.A.,0.06
Break Ke Baad,26-11-2010,3,10.5,15,17.64
Hisss,22-11-2010,N.A.,N.A.,N.A.,7.21
Diwangi Ne Had Kar Di,19-11-2010,N.A.,N.A.,N.A.,0.1
Guzaarish,19-11-2010,4,15,22,29.32
Shahrukh Bola Khoobsurat Hai Tu,19-11-2010,N.A.,N.A.,N.A.,0.11
Dunno Y Na Jaane Kyun…,12-11-2010,N.A.,N.A.,N.A.,0.05
Ramaa – The Saviour,12-11-2010,N.A.,N.A.,N.A.,0.15
A Flat,12-11-2010,N.A.,N.A.,N.A.,0.37
Golmaal 3,05-11-2010,8,33.58,62.19,106.34
Action Replayy,05-11-2010,2.75,16.75,23.4,29.06
Musaa,29-10-2010,N.A.,N.A.,N.A.,0.02
Nakshatra,29-10-2010,N.A.,N.A.,N.A.,0.16
Maalik Ek,29-10-2010,N.A.,N.A.,N.A.,0.05
Daayen Ya Baayen,29-10-2010,N.A.,N.A.,N.A.,0.04
Dus Tola,22-10-2010,N.A.,N.A.,N.A.,0.11
Rakht Charitra – I,22-10-2010,N.A.,N.A.,N.A.,9.04
Jhootha Hi Sahi,22-10-2010,N.A.,5,7.49,10.91
Kajraare,15-10-2010,N.A.,N.A.,N.A.,0.01
Aakrosh,15-10-2010,0N.A,7.73,12.35,13.64
Knock Out,15-10-2010,N.A.,3.91,6.28,7.17
Ramayana – The Epic,15-10-2010,N.A.,N.A.,N.A.,0.36
Do Dooni Chaar,08-10-2010,N.A.,N.A.,N.A.,4.32
Lava Kusa,08-10-2010,N.A.,N.A.,N.A.,0.2
Crook: It’s Good To Be Bad,08-10-2010,0N.A,7,11.05,12.4
Khichdi – The Movie,01-10-2010,0.75,3.58,5.04,5.1
Benny and Babloo,01-10-2010,0N.A,0N.A,0N.A,8.46
Robot,01-10-2010,0N.A,7.74,12.37,23.84
Anjaana Anjaani,01-10-2010,7,20.51,33,40.29
Life Express,17-09-2010,N.A.,N.A.,N.A.,0.05
For Real,17-09-2010,0N.A,0N.A,0N.A,0.08
Dabangg,10-09-2010,14.5,48.5,81,138.88
The Film Emotional Atyachar,03-09-2010,0N.A,0N.A,0N.A,0.98
Mallika,03-09-2010,0N.A,0N.A,0N.A,1.01
We Are Family,02-09-2010,2.7,14.2,17.86,21.64
Gumshuda,27-08-2010,N.A.,N.A.,N.A.,0.05
Geng,27-08-2010,N.A.,N.A.,N.A.,0.02
Hello Darling,27-08-2010,N.A.,N.A.,N.A.,2.97
Antardwand,27-08-2010,0N.A,0N.A,0N.A,0.25
Soch Lo,27-08-2010,N.A.,N.A.,N.A.,0.05
Aashayein,27-08-2010,N.A.,1.25,2.05,2.54
Madholal Keep Walking,27-08-2010,N.A.,N.A.,N.A.,0.06
Kis Hudh Tak…,20-08-2010,N.A.,N.A.,N.A.,0.01
Lafangey Parindey,20-08-2010,0N.A,10.5,17.25,21.77
And Once Again,20-08-2010,N.A.,N.A.,N.A.,0.12
PEEPLI [Live],13-08-2010,0N.A,16,22,30.41
Help,13-08-2010,N.A.,1.34,2.36,2.58
Aisha,06-08-2010,3.65,13.43,17.4,17.55
Once Upon A Time In Mumbaai,30-07-2010,6.05,22.01,34.2,55.47
Khatta Meetha,23-07-2010,7,23,32.91,38.66
Lamhaa,16-07-2010,N.A.,6,8.45,9.08
Udaan,16-07-2010,N.A.,1.25,2.5,3.35
Tere Bin Laden,16-07-2010,0.9,3.74,5.61,7.94
Milenge Milenge,09-07-2010,2.24,7.54,10.45,11
Red Alert – The War Within,09-07-2010,N.A.,N.A.,N.A.,1.55
I Hate Luv Storys,02-07-2010,7,23,33.13,43.17
Mr. Singh Mrs. Mehta,25-06-2010,N.A.,N.A.,N.A.,0.22
Krantiveer-The Revolution,25-06-2010,N.A.,N.A.,N.A.,0.76
www.Love.com,25-06-2010,N.A.,N.A.,N.A.,0.17
Raavan,18-06-2010,0N.A,16.5,23.58,29.17
The Camp,11-06-2010,N.A.,N.A.,N.A.,0.05
Ek Second… Jo Zindagi Badal De?,11-06-2010,N.A.,N.A.,N.A.,0.23
Raajneeti,04-06-2010,10.5,33.63,56,93.66
Ashok Chakra,28-05-2010,N.A.,N.A.,N.A.,0.05
Kites,21-05-2010,10.4,30.5,40.9,49.27
Admissions Open,14-05-2010,0N.A,0N.A,0N.A,0.07
Vroom,14-05-2010,N.A.,N.A.,N.A.,0.06
Kushti,14-05-2010,N.A.,N.A.,N.A.,0.43
Bumm Bumm Bole,14-05-2010,N.A.,N.A.,N.A.,1.09
Bal Hanuman 2,14-05-2010,N.A.,N.A.,N.A.,0.25
Badmaash Company,07-05-2010,0N.A,13.03,20.84,35.41
It’s a Wonderful Afterlife,07-05-2010,N.A.,N.A.,N.A.,1.09
Do Dilon Ke Khel Mein,06-05-2010,N.A.,N.A.,N.A.,0.03
Housefull,30-04-2010,10,29.8,52.3,75.62
Chase,29-04-2010,N.A.,N.A.,N.A.,0.35
Kuchh Kariye,23-04-2010,N.A.,N.A.,N.A.,0.05
City Of Gold,23-04-2010,N.A.,N.A.,N.A.,2.01
Muskurake Dekh Zara,23-04-2010,N.A.,N.A.,N.A.,0.3
Apartment,23-04-2010,N.A.,N.A.,N.A.,0.21
Mumbai 118,23-04-2010,N.A.,N.A.,N.A.,0.11
Bird Idol,23-04-2010,N.A.,N.A.,N.A.,0.29
Paathshaala,16-04-2010,N.A.,5.25,8.35,21.62
Phoonk 2,16-04-2010,N.A.,N.A.,N.A.,7.5
Jaane Kahan Se Aayi Hai,09-04-2010,0,2,3.22,4.57
The Japanese Wife,09-04-2010,N.A.,N.A.,N.A.,0.49
Prince,09-04-2010,N.A.,N.A.,N.A.,28.45
Tum Milo Toh Sahi,02-04-2010,N.A.,N.A.,N.A.,3.52
Sadiyaan,02-04-2010,N.A.,N.A.,N.A.,0.69
The Great Indian Butterfly,02-04-2010,N.A.,0,N.A.,0.04
Pankh,02-04-2010,N.A.,0.17,0.17,0.21
My Friend Ganesha 3,26-03-2010,N.A.,N.A.,N.A.,0.23
Well Done Abba,26-03-2010,N.A.,N.A.,N.A.,3.74
Prem Kaa Game,26-03-2010,N.A.,N.A.,N.A.,N.A.
Hum Tum Aur Ghost,26-03-2010,0N.A,2.5,0N.A,5.09
Mittal V/S Mittal,26-03-2010,N.A.,N.A.,N.A.,0.2
Lahore,19-03-2010,N.A.,N.A.,N.A.,1.05
Idiot Box,19-03-2010,N.A.,N.A.,N.A.,0.03
Shaapit,19-03-2010,N.A.,N.A.,6.05,9.48
Love Sex Aur Dhokha,19-03-2010,N.A.,4.25,6.4,9.78
Na Ghar Ke Na Ghaat Ke,12-03-2010,N.A.,N.A.,N.A.,0.82
Swaha,12-03-2010,N.A.,N.A.,N.A.,0.01
Right Yaaa Wrong,12-03-2010,N.A.,1.93,3.07,4.11
Hide & Seek,12-03-2010,N.A.,N.A.,N.A.,0.56
Atithi Tum Kab Jaoge?,05-03-2010,0N.A,11.86,18.93,41.12
Rokkk,05-03-2010,N.A.,N.A.,N.A.,0.93
Thanks Maa,05-03-2010,N.A.,N.A.,N.A.,0.11
Hello Zindagi,05-03-2010,N.A.,N.A.,N.A.,0.01
Teen Patti,26-02-2010,0N.A,3.84,6.11,6.77
Karthik Calling Karthik,26-02-2010,0N.A,8.92,14.27,26.92
Toh Baat Pakki,19-02-2010,N.A.,N.A.,N.A.,4.24
Click,19-02-2010,N.A.,N.A.,N.A.,2.46
My Name Is Khan,12-02-2010,8,30,48.45,82.52
"Road, Movie",05-02-2010,N.A.,0.83,1.32,2.23
Phaans – Ek Jasoos Ki Kahani,05-02-2010,N.A.,N.A.,N.A.,0.01
Striker,05-02-2010,N.A.,0.8,0,0.84
Rann,29-01-2010,0N.A,4.73,7.55,7.85
Ishqiya,29-01-2010,0N.A,9.33,13.22,28.55
Veer,22-01-2010,7,19.57,31.82,46
Chance Pe Dance,15-01-2010,N.A.,6,9.55,20.62
Bhavnao Ko Samjho,15-01-2010,N.A.,N.A.,N.A.,0.02
Hello Hum Lallann Bol Rahe Hain,15-01-2010,N.A.,0,N.A.,0.03
Mission 11 Jul,15-01-2010,0N.A,0N.A,0N.A,0.02
Dulha Mil Gaya,08-01-2010,0N.A,0N.A,0N.A,4.15
