Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
LOC Kargil,26-12-2003,2.27,6.43,10.62,17.64
Munnabhai MBBS,19-12-2003,1.06,3.35,6.08,23.13
Fun2ssh,19-12-2003,0.32,1.03,1.73,2.92
Janasheen,28-11-2003,1.37,3.87,6.19,9.79
Kal Ho Naa Ho,28-11-2003,2.17,6.71,12.45,38.55
Out Of Control,21-11-2003,0.72,2.15,3.31,4.77
Pinjar,24-10-2003,0.39,1.08,1.79,3.43
Sssshhh?,24-10-2003,0.46,1.18,1.98,3.64
Khel,03-10-2003,1.01,2.92,4.48,6.99
Baghban,03-10-2003,0.9,2.92,5.39,20.65
Zameen,26-09-2003,1.45,4.22,6.58,11
Boom,19-09-2003,1.27,3.58,5.28,6.23
Parwana,12-09-2003,0.74,2.07,3.1,4.35
Market,12-09-2003,0.32,0.99,1.58,2.81
Kuch Naa Kaho,05-09-2003,0.71,2.22,3.7,6.46
Calcutta Mail,05-09-2003,0.45,1.29,1.95,2.59
Gangaajal,29-08-2003,1.08,3.1,5.22,10.48
Mumbai Se Aaya Mera Dost,22-08-2003,0.52,1.43,2.11,2.48
Footpath,15-08-2003,0.62,1.76,2.74,4.15
Tere Naam,15-08-2003,1.85,4.78,7.74,14.53
Koi Mil Gaya,08-08-2003,2.25,6.45,12.9,47.2
Oops?,01-08-2003,N.A.,N.A.,N.A.,0.01
Chori Chori,01-08-2003,0.48,1.42,2.23,3.15
Hungama,01-08-2003,0.8,2.53,4.45,12.61
Darna Mana Hai,25-07-2003,0.86,2.52,3.84,5.15
Jaal – The Trap,18-07-2003,1.09,2.97,4.62,7.1
Qayamat,11-07-2003,1.87,5.34,9.08,17.46
Hawa,04-07-2003,0.54,1.5,2.38,3.76
Main Prem Ki Diwani Hoon,27-06-2003,1.24,3.81,6.77,17.8
Supari,20-06-2003,0.45,1.25,1.85,2.66
Chalte Chalte,13-06-2003,1.5,4.52,8.23,19.44
Khwahish,06-06-2003,0.35,1.03,1.7,3.34
Nayee Padosan,06-06-2003,0.36,1.1,1.8,3.09
Bhoot,30-05-2003,1.27,3.69,6.43,14.49
Jajantaram Mamantram,30-05-2003,0.32,1.02,1.78,3.65
Andaaz,23-05-2003,1.44,4.39,6.97,15.94
Armaan,16-05-2003,0.75,0.05,3.94,6.82
Ishq Vishk,09-05-2003,0.58,1.8,3.19,7.74
The Hero,11-04-2003,2.22,6.31,10.74,26.23
Saaya,07-04-2003,0.47,1.39,2.17,3.24
Ek Aur Ek Gyarah,28-03-2003,1.1,3.19,5.26,11.71
Om,21-03-2003,0.31,0.88,1.34,2.2
Chura Liyaa Hai Tumne,21-03-2003,0.41,1.18,1.93,3.1
Baaz,07-02-2003,0.43,1.19,1.82,2.81
Khushi,07-02-2003,0.74,2.18,3.76,9.03
Dum,24-01-2003,0.53,1.59,2.76,5.03
Kucch To Hai,24-01-2003,0.7,2.06,3.57,6.78
Jism,17-01-2003,0.67,1.91,3.37,8.14
Dil Ka Rishta,17-01-2003,0.56,1.76,2.89,5.53
Talaash… The Hunt Begins,03-01-2003,0.95,4.39,7.86,7.86
Tujhe Meri Kasam,03-01-2003,0.16,0.61,1.09,8.93
